Feature,Importance
Revenue per view,0.4413495044095667
Likes,0.30266123447705995
Subscribers,0.11082524959137084
Views,0.0781365406105082
Shares,0.0268551715342053
Engagement Rate (%),0.020873490697308886
New Comments,0.019298808679980104
